district,climate_zone,experience_level,budget_level,farming_setup,soil_type,season,crop_type_preference,water_access,recommendation_1,recommendation_1_score,recommendation_2,recommendation_2_score,recommendation_3,recommendation_3_score,success_probability,estimated_roi,profitability_score,space_required_sqm,growth_duration_days,difficulty_level,market_demand,market_price_per_kg,water_requirement,market_conditions,alternative_crops
Batticaloa,coastal,Beginner,Medium,Small_Plot,Alluvial,Maha,Ayurvedic_Plants,Yes,Moringa,85.7,Lime,83.2,Lemon,81.9,0.784,173.3,68,5.5,93,2,8,402,Low,1.08,"Turmeric, Papaya, Banana"
Gampaha,coastal,Intermediate,Medium,Small_Plot,Alluvial,Yala,Herbs,Yes,Passion Fruit,98.3,Moringa,85.7,Lime,83.2,0.736,209,78,4.4,93,3,10,642,Medium,0.99,"Lemon, Turmeric, Avocado"
Horana,wet_zone,Advanced,Low,Backyard,Alluvial,Yala,Cash_Crops,Yes,Black Pepper,100,Turmeric,100,Avocado,100,0.784,134.4,88,7.1,260,4,10,2125,High,0.91,"Passion Fruit, Ginger, Lime"
Kandy,hill_country,Beginner,Medium,Container,Loamy,Maha,Vegetables,Yes,Ginger,93.2,Tomato,88.7,Cherry Tomato,84.4,0.95,111,74,3.7,212,2,10,382,High,0.99,"Bell Pepper, Capsicum, Green Beans"
Monaragala,dry_zone,Beginner,Low,Container,Clay,Maha,Vegetables,Yes,Chili,90.7,Aloe Vera,88.2,Eggplant,83.2,0.95,168.1,72,1.9,89,2,10,269,Medium,0.91,"Curry Leaves, Okra, Tomato"
Trincomalee,coastal,Beginner,Low,Rooftop,Laterite,Maha,Fruits,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.95,199.2,70,1.3,90,1,10,459,Low,0.84,"Capsicum, Basil, Coriander"
Galle,coastal,Advanced,Medium,Small_Plot,Alluvial,Maha,Vegetables,No,Dragon Fruit,100,Saffron,97,Moringa,94.2,0.77,140.1,84,9,146,4,10,664,Medium,0.92,"Passion Fruit, Lime, Lemon"
Gampaha,coastal,Beginner,Low,Backyard,Sandy,Maha,Vegetables,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.645,214.9,72,1.9,90,2,10,413,Medium,1.12,"Moringa, Eggplant, Lime"
Ampara,wet_zone,Intermediate,Low,Container,Clay,Maha,Herbs,Yes,Ginger,93.2,Tomato,88.7,Brahmi,81.9,0.839,148,74,3.5,244,2,10,258,High,1.16,"Cucumber, Green Beans, Mint"
Gampaha,coastal,Beginner,Medium,Backyard,Alluvial,Maha,Leafy_Greens,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.681,128.9,72,1.1,71,2,9,581,Medium,1.18,"Moringa, Eggplant, Lime"
Batticaloa,coastal,Advanced,Low,Rooftop,Laterite,Maha,Herbs,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.761,89.1,70,2.4,93,1,10,388,Low,0.94,"Capsicum, Basil, Coriander"
Colombo,coastal,Beginner,High,Small_Plot,Alluvial,Maha,Leafy_Greens,Yes,Moringa,85.7,Lime,83.2,Lemon,81.9,0.879,168,68,3.9,79,2,10,380,Low,1.12,"Turmeric, Papaya, Banana"
Badulla,hill_country,Beginner,Medium,Small_Plot,Laterite,Maha,Leafy_Greens,No,Turmeric,86.2,Lemon,73.7,Moringa,70.7,0.802,169,76,2.7,278,2,7,279,Medium,0.9,"Baby Corn, Cabbage, Lime"
Nuwara Eliya,hill_country,Intermediate,Low,Rooftop,Red_Earth,Maha,Cash_Crops,No,Curry Leaves,83.2,Aloe Vera,72.8,Capsicum,70.3,0.782,122.8,60,1.5,31,1,7,68,Low,0.93,"Basil, Chili, Coriander"
Ampara,wet_zone,Intermediate,High,Greenhouse,Clay,Yala,Ayurvedic_Plants,Yes,Brahmi,81.9,Tomato,80.6,Cucumber,73.1,0.709,48.3,65,1.5,72,3,9,490,High,1.06,"Bell Pepper, Cherry Tomato, Capsicum"
Anuradhapura,dry_zone,Beginner,Low,Backyard,Clay,Maha,Cash_Crops,Yes,Chili,90.7,Aloe Vera,88.2,Moringa,85.7,0.786,48.2,72,2.8,73,2,10,456,Medium,0.86,"Eggplant, Curry Leaves, Okra"
Ampara,wet_zone,Intermediate,Low,Backyard,Clay,Yala,Herbs,Yes,Turmeric,100,Avocado,100,Passion Fruit,98.3,0.754,101,76,3.8,282,2,10,436,Medium,0.99,"Ginger, Lime, Tomato"
Polonnaruwa,dry_zone,Beginner,Low,Backyard,Clay,Maha,Vegetables,Yes,Chili,90.7,Aloe Vera,88.2,Moringa,85.7,0.715,128,72,2.8,62,2,10,243,Medium,0.85,"Eggplant, Curry Leaves, Okra"
Kandy,hill_country,Intermediate,Medium,Rooftop,Red_Earth,Maha,Herbs,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.704,48.9,62,1,68,2,10,174,Medium,1.12,"Chili, Aloe Vera, Mint"
Badulla,hill_country,Advanced,Medium,Rooftop,Red_Earth,Maha,Herbs,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.672,87.3,62,2,82,2,8,188,Medium,1.08,"Chili, Aloe Vera, Mint"
Bandarawela,hill_country,Beginner,Medium,Rooftop,Red_Earth,Maha,Fruits,No,Curry Leaves,83.2,Aloe Vera,72.8,Capsicum,70.3,0.858,48,60,2,37,1,8,86,Low,0.93,"Basil, Chili, Coriander"
Horana,wet_zone,Beginner,Medium,Small_Plot,Red_Earth,Yala,Herbs,Yes,Turmeric,100,Lime,83.2,Baby Corn,80.4,0.826,47.6,76,2,239,2,9,325,Medium,0.9,"Papaya, Moringa, Banana"
Kegalle,hill_country,Beginner,Low,Container,Red_Earth,Yala,Cash_Crops,Yes,Ginger,93.2,Bell Pepper,88.7,Cherry Tomato,84.4,0.828,56.4,74,3,253,2,9,282,High,0.96,"Tomato, Capsicum, Curry Leaves"
Batticaloa,coastal,Advanced,Medium,Small_Plot,Sandy,Yala,Cash_Crops,No,Dragon Fruit,100,Saffron,97,Moringa,94.2,0.887,102.2,84,6.1,176,4,9,688,Medium,0.97,"Passion Fruit, Lime, Lemon"
Kandy,hill_country,Intermediate,Low,Backyard,Laterite,Yala,Cash_Crops,Yes,Turmeric,100,Avocado,100,Ginger,93.2,0.95,114.6,76,2.3,253,2,10,360,Medium,0.9,"Lemon, Tomato, Baby Corn"
Batticaloa,coastal,Intermediate,Low,Container,Laterite,Maha,Ayurvedic_Plants,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.808,51.6,70,1.7,79,1,10,346,Low,0.95,"Cherry Tomato, Eggplant, Okra"
Hambantota,dry_zone,Intermediate,Low,Rooftop,Alluvial,Maha,Cash_Crops,Yes,Chili,90.7,Aloe Vera,88.2,Curry Leaves,75.6,0.661,175.9,72,1,68,2,10,369,Medium,0.94,"Capsicum, Basil, Mint"
Mannar,northern,Beginner,Medium,Rooftop,Alluvial,Maha,Vegetables,Yes,Chili,90.7,Aloe Vera,66.2,Capsicum,58.6,0.95,204.8,72,2.4,73,2,10,682,Medium,1.18,"Curry Leaves, Basil, Mint"
Hatton,hill_country,Intermediate,Low,Container,Red_Earth,Yala,Cash_Crops,Yes,Ginger,93.2,Bell Pepper,88.7,Cherry Tomato,84.4,0.915,44.1,74,3.7,266,2,9,281,High,0.84,"Brahmi, Tomato, Capsicum"
Puttalam,dry_zone,Intermediate,Medium,Backyard,Red_Earth,Maha,Ayurvedic_Plants,No,Aloe Vera,97,Ashwagandha,97,Moringa,94.2,0.741,97.6,70,1.1,75,1,10,249,Low,0.87,"Curry Leaves, Chili, Pomegranate"
Mannar,northern,Intermediate,Low,Rooftop,Red_Earth,Yala,Cash_Crops,No,Chili,89.8,Aloe Vera,80,Curry Leaves,62.4,0.939,49.8,72,2.6,73,2,10,377,Medium,0.92,"Capsicum, Basil, Coriander"
Jaffna,northern,Beginner,Low,Rooftop,Red_Earth,Yala,Cash_Crops,Yes,Chili,99.8,Aloe Vera,72.8,Capsicum,58.6,0.803,151.5,72,2,70,2,10,330,Medium,0.96,"Curry Leaves, Basil, Mint"
Ratnapura,wet_zone,Intermediate,Low,Rooftop,Red_Earth,Yala,Herbs,Yes,Chili,74.8,Aloe Vera,72.8,Mint,69.3,0.566,74.9,72,1.5,84,2,9,449,Medium,1.05,"Capsicum, Spinach, Curry Leaves"
Kalmunai,wet_zone,Intermediate,High,Greenhouse,Alluvial,Yala,Fruits,Yes,Brahmi,81.9,Tomato,80.6,Cucumber,73.1,0.678,99.4,65,1.3,74,3,8,444,High,0.82,"Bell Pepper, Cherry Tomato, Capsicum"
Puttalam,dry_zone,Intermediate,Medium,Container,Red_Earth,Maha,Vegetables,Yes,Chili,90.7,Aloe Vera,88.2,Eggplant,83.2,0.95,162.5,72,2.5,87,2,9,266,Medium,1.06,"Curry Leaves, Ginger, Okra"
Horana,wet_zone,Advanced,Medium,Backyard,Alluvial,Yala,Leafy_Greens,No,Turmeric,94.8,Black Pepper,93.1,Avocado,93,0.664,119,76,3.5,269,2,10,286,Medium,0.89,"Passion Fruit, Aloe Vera, Lime"
Mannar,northern,Beginner,Medium,Rooftop,Clay,Yala,Cash_Crops,No,Chili,89.8,Aloe Vera,80,Curry Leaves,62.4,0.881,97.5,72,1.5,66,2,9,716,Medium,1.11,"Capsicum, Basil, Coriander"
Mannar,northern,Beginner,Low,Container,Red_Earth,Yala,Cash_Crops,No,Chili,89.8,Okra,82.3,Aloe Vera,80,0.719,77.7,72,1.9,63,2,7,492,Medium,1.03,"Eggplant, Curry Leaves, Bell Pepper"
Kalutara,coastal,Beginner,Low,Rooftop,Sandy,Maha,Fruits,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.95,96.1,70,2.2,69,1,9,472,Low,1.04,"Capsicum, Basil, Coriander"
Galle,coastal,Advanced,Medium,Rooftop,Alluvial,Yala,Cash_Crops,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.707,131.8,70,1.7,85,1,10,408,Low,0.9,"Capsicum, Basil, Coriander"
Hatton,hill_country,Intermediate,Medium,Backyard,Loamy,Maha,Cash_Crops,Yes,Avocado,100,Turmeric,95.8,Ginger,93.2,0.95,139.6,82,13.1,174,3,9,914,Medium,1.16,"Tomato, Broccoli, Lemon"
Kurunegala,dry_zone,Beginner,Low,Rooftop,Alluvial,Maha,Herbs,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.784,67.1,70,2.8,66,1,10,342,Low,1.02,"Capsicum, Basil, Coriander"
Hatton,hill_country,Advanced,Low,Backyard,Red_Earth,Yala,Ayurvedic_Plants,No,Turmeric,94.8,Avocado,93,Curry Leaves,83.2,0.95,84.2,76,4.3,202,2,8,438,Medium,1.07,"Aloe Vera, Lemon, Ashwagandha"
Puttalam,dry_zone,Intermediate,Medium,Container,Clay,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Eggplant,75.6,0.787,45.7,72,3,68,2,10,269,Medium,1.14,"Curry Leaves, Okra, Ginger"
Anuradhapura,dry_zone,Intermediate,Low,Container,Alluvial,Yala,Leafy_Greens,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.95,114.2,70,3,87,1,9,397,Low,0.83,"Okra, Lemongrass, Eggplant"
Hambantota,dry_zone,Beginner,Low,Backyard,Red_Earth,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Moringa,85.7,0.758,90,72,1.3,63,2,9,371,Medium,0.87,"Turmeric, Eggplant, Curry Leaves"
Badulla,hill_country,Beginner,Low,Container,Laterite,Yala,Ayurvedic_Plants,No,Curry Leaves,83.2,Aloe Vera,80,Bell Pepper,79.8,0.853,80,60,1.4,50,1,10,119,Low,0.84,"Cherry Tomato, Capsicum, Green Beans"
Matale,hill_country,Intermediate,Medium,Small_Plot,Loamy,Yala,Leafy_Greens,Yes,Turmeric,100,Avocado,100,Lemon,81.9,0.95,76.9,76,4.8,274,2,10,350,Medium,0.89,"Baby Corn, Broccoli, Passion Fruit"
Negombo,coastal,Advanced,Medium,Backyard,Alluvial,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Black Pepper,99.8,Passion Fruit,98.3,0.796,152.2,72,2.9,86,2,10,312,Medium,1.03,"Aloe Vera, Moringa, Lime"
Kalmunai,wet_zone,Intermediate,Low,Container,Red_Earth,Yala,Cash_Crops,Yes,Ginger,93.2,Brahmi,81.9,Tomato,80.6,0.95,107.2,74,3.6,205,2,10,319,High,1.08,"Chili, Cucumber, Aloe Vera"
Kilinochchi,northern,Intermediate,Low,Rooftop,Alluvial,Yala,Herbs,Yes,Chili,99.8,Aloe Vera,72.8,Capsicum,58.6,0.898,68.3,72,1.7,73,2,9,298,Medium,1.11,"Curry Leaves, Basil, Mint"
Mannar,northern,Beginner,Low,Container,Clay,Yala,Leafy_Greens,No,Chili,89.8,Okra,82.3,Aloe Vera,80,0.95,120.4,72,1.1,62,2,10,262,Medium,1.09,"Eggplant, Curry Leaves, Bell Pepper"
Polonnaruwa,dry_zone,Advanced,Medium,Container,Red_Earth,Maha,Cash_Crops,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.95,78.7,70,1.2,106,1,10,623,Low,1.04,"Eggplant, Okra, Lemongrass"
Matara,coastal,Beginner,High,Small_Plot,Alluvial,Yala,Herbs,Yes,Turmeric,86.9,Moringa,85.7,Lime,83.2,0.74,48.3,76,4.9,232,2,10,337,Medium,1.19,"Lemon, Papaya, Banana"
Kurunegala,dry_zone,Beginner,Low,Backyard,Alluvial,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Moringa,85.7,0.95,83.8,72,2.7,83,2,9,267,Medium,1.11,"Turmeric, Eggplant, Curry Leaves"
Kandy,hill_country,Advanced,Low,Rooftop,Red_Earth,Maha,Cash_Crops,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.593,175.2,62,1.4,90,2,10,209,Medium,0.89,"Mint, Chili, Aloe Vera"
Hatton,hill_country,Advanced,Low,Backyard,Red_Earth,Yala,Ayurvedic_Plants,No,Turmeric,94.8,Avocado,93,Curry Leaves,83.2,0.834,62.3,76,3,225,2,10,299,Medium,1.02,"Aloe Vera, Lemon, Ashwagandha"
Puttalam,dry_zone,Intermediate,Medium,Backyard,Red_Earth,Maha,Vegetables,No,Aloe Vera,97,Ashwagandha,97,Moringa,94.2,0.944,84.2,70,2.8,99,1,10,393,Low,0.96,"Curry Leaves, Chili, Pomegranate"
Badulla,hill_country,Beginner,Medium,Backyard,Loamy,Maha,Herbs,Yes,Turmeric,95.8,Ginger,93.2,Tomato,88.7,0.95,176.3,76,4.8,229,2,10,280,Medium,0.93,"Lemon, Green Beans, Curry Leaves"
Horana,wet_zone,Intermediate,Medium,Backyard,Clay,Maha,Herbs,Yes,Avocado,100,Passion Fruit,98.3,Turmeric,95.8,0.805,61.6,82,8.8,261,3,10,742,Medium,1.06,"Ginger, Tomato, Lime"
Negombo,coastal,Intermediate,Medium,Small_Plot,Sandy,Yala,Leafy_Greens,Yes,Passion Fruit,98.3,Moringa,85.7,Lime,83.2,0.79,231.3,78,5,92,3,10,557,Medium,1.1,"Lemon, Turmeric, Avocado"
Polonnaruwa,dry_zone,Intermediate,Low,Backyard,Red_Earth,Yala,Ayurvedic_Plants,No,Aloe Vera,100,Ashwagandha,97,Moringa,94.2,0.95,185.6,70,1.2,110,1,9,647,Low,1.18,"Chili, Curry Leaves, Okra"
Badulla,hill_country,Intermediate,Medium,Backyard,Red_Earth,Maha,Cash_Crops,Yes,Avocado,100,Turmeric,95.8,Ginger,93.2,0.95,64.4,82,12.7,290,3,10,555,Medium,1.07,"Tomato, Broccoli, Lemon"
Badulla,hill_country,Intermediate,Low,Rooftop,Loamy,Maha,Vegetables,No,Curry Leaves,83.2,Aloe Vera,72.8,Capsicum,70.3,0.617,108.5,60,2,36,1,10,213,Low,1.16,"Basil, Chili, Coriander"
Badulla,hill_country,Intermediate,Low,Backyard,Laterite,Yala,Vegetables,Yes,Turmeric,100,Avocado,100,Ginger,93.2,0.763,43.3,76,4.2,194,2,10,317,Medium,0.9,"Lemon, Tomato, Baby Corn"
Negombo,coastal,Beginner,High,Small_Plot,Laterite,Maha,Herbs,No,Moringa,94.2,Lime,74.8,Lemon,73.7,0.763,155.4,68,7.7,69,2,10,593,Low,1.06,"Turmeric, Papaya, Neem"
Kurunegala,dry_zone,Beginner,Medium,Small_Plot,Clay,Maha,Vegetables,Yes,Moringa,85.7,Turmeric,71.8,Lime,62.4,0.723,152.2,68,5.1,109,2,10,352,Low,0.84,"Lemon, Wood Apple, Baby Corn"
Kegalle,hill_country,Intermediate,Medium,Rooftop,Laterite,Maha,Leafy_Greens,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.606,71.4,62,2.9,62,2,7,148,Medium,0.85,"Chili, Aloe Vera, Mint"
Ampara,wet_zone,Intermediate,Medium,Container,Clay,Yala,Fruits,Yes,Ginger,93.2,Brahmi,81.9,Tomato,80.6,0.861,133.3,74,2.3,184,2,10,208,High,0.89,"Chili, Cucumber, Aloe Vera"
Kilinochchi,northern,Beginner,Low,Rooftop,Alluvial,Yala,Leafy_Greens,No,Chili,89.8,Aloe Vera,80,Curry Leaves,62.4,0.782,56.3,72,1.1,71,2,8,378,Medium,1.16,"Capsicum, Basil, Coriander"
Bandarawela,hill_country,Intermediate,Medium,Small_Plot,Laterite,Yala,Ayurvedic_Plants,Yes,Turmeric,100,Avocado,100,Lemon,81.9,0.95,60,76,4.7,275,2,10,325,Medium,1.19,"Baby Corn, Broccoli, Passion Fruit"
Kandy,hill_country,Beginner,Medium,Small_Plot,Red_Earth,Maha,Cash_Crops,Yes,Turmeric,95.8,Lemon,81.9,Baby Corn,73.1,0.822,208.4,76,2.4,216,2,10,360,Medium,1.03,"Moringa, Cabbage, Lime"
Ampara,wet_zone,Beginner,High,Greenhouse,Alluvial,Maha,Cash_Crops,Yes,Tomato,88.7,Cucumber,80.4,Cherry Tomato,63.3,0.917,88.6,64,2.7,89,2,9,73,High,0.84,"Bell Pepper, Capsicum, Basil"
Jaffna,northern,Intermediate,Low,Container,Alluvial,Maha,Fruits,Yes,Chili,90.7,Eggplant,83.2,Okra,68,0.797,122.3,72,1.8,87,2,10,569,Medium,0.94,"Tomato, Aloe Vera, Cherry Tomato"
Matara,coastal,Beginner,Low,Container,Sandy,Maha,Vegetables,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.845,103.2,72,1.6,83,2,9,365,Medium,1.18,"Cherry Tomato, Eggplant, Bell Pepper"
Gampaha,coastal,Advanced,Medium,Small_Plot,Sandy,Maha,Cash_Crops,No,Dragon Fruit,100,Saffron,97,Moringa,94.2,0.77,146.8,84,4.7,178,4,10,767,Medium,1.05,"Passion Fruit, Lime, Lemon"
Vavuniya,northern,Beginner,Low,Rooftop,Clay,Yala,Fruits,Yes,Chili,99.8,Aloe Vera,72.8,Capsicum,58.6,0.765,62.5,72,2.9,74,2,10,539,Medium,1.14,"Curry Leaves, Basil, Mint"
Vavuniya,northern,Beginner,Medium,Small_Plot,Red_Earth,Yala,Vegetables,No,Turmeric,71.1,Moringa,70.7,Lime,56.1,0.547,44.6,76,4.8,252,2,10,334,Medium,1.06,"Lemon, Baby Corn, Onion"
Horana,wet_zone,Beginner,Low,Container,Alluvial,Yala,Herbs,Yes,Ginger,93.2,Tomato,80.6,Chili,74.8,0.751,138.3,74,2.7,185,2,10,371,High,1.02,"Cucumber, Aloe Vera, Green Beans"
Jaffna,northern,Advanced,Medium,Container,Clay,Maha,Herbs,No,Chili,81.6,Eggplant,74.8,Okra,74.8,0.747,50.4,72,1.2,83,2,10,338,Medium,1.1,"Aloe Vera, Strawberry, Curry Leaves"
Kilinochchi,northern,Advanced,Medium,Backyard,Alluvial,Maha,Cash_Crops,Yes,Black Pepper,99.8,Chili,90.7,Pomegranate,85.7,0.842,50.3,88,3.9,250,4,10,2474,High,0.94,"Eggplant, Avocado, Passion Fruit"
Mullaitivu,northern,Beginner,Low,Rooftop,Alluvial,Maha,Leafy_Greens,Yes,Chili,90.7,Aloe Vera,66.2,Capsicum,58.6,0.806,88.4,72,1.5,68,2,9,435,Medium,1.02,"Curry Leaves, Basil, Mint"
Anuradhapura,dry_zone,Beginner,Low,Container,Clay,Maha,Cash_Crops,Yes,Chili,90.7,Aloe Vera,88.2,Eggplant,83.2,0.95,112.3,72,1.8,69,2,9,220,Medium,0.88,"Curry Leaves, Okra, Tomato"
Trincomalee,coastal,Intermediate,Low,Container,Sandy,Yala,Ayurvedic_Plants,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.764,84.4,70,1.8,107,1,10,420,Low,1.06,"Okra, Bell Pepper, Cherry Tomato"
Kandy,hill_country,Intermediate,Medium,Small_Plot,Laterite,Maha,Leafy_Greens,Yes,Avocado,100,Turmeric,95.8,Broccoli,85.9,0.92,47.4,82,14.4,266,3,10,427,Medium,0.9,"Lemon, Passion Fruit, Baby Corn"
Kalmunai,wet_zone,Intermediate,High,Small_Plot,Red_Earth,Yala,Herbs,No,Turmeric,100,Avocado,100,Passion Fruit,97.3,0.756,98.3,76,2.9,229,2,10,339,Medium,0.98,"Ashwagandha, Lime, Baby Corn"
Kurunegala,dry_zone,Beginner,High,Greenhouse,Alluvial,Yala,Cash_Crops,Yes,Bell Pepper,66.5,Cherry Tomato,63.3,Tomato,60.5,0.625,76.6,64,1.2,71,2,7,291,Medium,1.16,"Capsicum, Cucumber, Basil"
Trincomalee,coastal,Beginner,Low,Container,Alluvial,Maha,Herbs,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.655,47.7,72,1.6,82,2,9,308,Medium,0.9,"Cherry Tomato, Eggplant, Bell Pepper"
Galle,coastal,Beginner,Low,Rooftop,Sandy,Yala,Cash_Crops,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.95,219.6,70,1.8,100,1,10,627,Low,1.12,"Capsicum, Basil, Coriander"
Vavuniya,northern,Intermediate,Medium,Container,Alluvial,Yala,Ayurvedic_Plants,No,Chili,89.8,Okra,82.3,Aloe Vera,80,0.888,120.3,72,1.7,80,2,8,235,Medium,0.81,"Eggplant, Curry Leaves, Bell Pepper"
Negombo,coastal,Beginner,Medium,Container,Alluvial,Maha,Ayurvedic_Plants,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.95,81.1,70,2.2,87,1,10,436,Low,1.15,"Cherry Tomato, Eggplant, Okra"
Monaragala,dry_zone,Intermediate,Medium,Rooftop,Alluvial,Yala,Cash_Crops,Yes,Chili,99.8,Aloe Vera,97,Curry Leaves,75.6,0.95,108.9,72,2.9,90,2,8,343,Medium,0.91,"Capsicum, Basil, Mint"
Matara,coastal,Intermediate,Low,Rooftop,Laterite,Yala,Ayurvedic_Plants,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.829,173.2,70,2.7,60,1,10,290,Low,0.89,"Capsicum, Basil, Coriander"
Matara,coastal,Beginner,Low,Rooftop,Sandy,Maha,Vegetables,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.95,55.5,70,3,114,1,8,300,Low,0.85,"Capsicum, Basil, Coriander"
Matale,hill_country,Beginner,Low,Container,Laterite,Maha,Leafy_Greens,Yes,Ginger,93.2,Tomato,88.7,Cherry Tomato,84.4,0.876,55.2,74,4,189,2,10,236,High,0.97,"Bell Pepper, Capsicum, Green Beans"
Matara,coastal,Beginner,Low,Rooftop,Sandy,Maha,Ayurvedic_Plants,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.95,82.1,70,2.6,103,1,10,538,Low,1.04,"Capsicum, Basil, Coriander"
Bandarawela,hill_country,Intermediate,Low,Container,Loamy,Maha,Leafy_Greens,Yes,Ginger,93.2,Tomato,88.7,Cherry Tomato,84.4,0.731,75.1,74,3.5,195,2,10,185,High,0.81,"Brahmi, Bell Pepper, Capsicum"
Gampaha,coastal,Intermediate,Low,Rooftop,Sandy,Yala,Herbs,Yes,Chili,99.8,Aloe Vera,97,Capsicum,78.1,0.831,50.3,72,1.7,79,2,10,508,Medium,1.08,"Curry Leaves, Basil, Mint"
Polonnaruwa,dry_zone,Advanced,Low,Container,Clay,Yala,Vegetables,Yes,Chili,99.8,Aloe Vera,97,Strawberry,90.7,0.946,158.5,72,2.9,71,2,9,583,Medium,1.12,"Eggplant, Curry Leaves, Okra"
Mullaitivu,northern,Beginner,Low,Backyard,Alluvial,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Turmeric,79,Eggplant,75.6,0.95,46.1,72,2.8,82,2,10,215,Medium,1.09,"Okra, Aloe Vera, Moringa"
Puttalam,dry_zone,Advanced,Low,Backyard,Clay,Yala,Fruits,No,Aloe Vera,100,Ashwagandha,97,Moringa,94.2,0.95,48.7,70,1,84,1,9,470,Low,0.89,"Chili, Curry Leaves, Okra"
Trincomalee,coastal,Intermediate,Medium,Rooftop,Sandy,Yala,Cash_Crops,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.715,96.7,70,1.8,65,1,10,376,Low,0.9,"Capsicum, Basil, Coriander"
Jaffna,northern,Beginner,Low,Container,Alluvial,Yala,Herbs,Yes,Chili,99.8,Eggplant,75.6,Okra,74.8,0.93,229.7,72,1,78,2,10,380,Medium,0.99,"Aloe Vera, Ginger, Bell Pepper"
Ratnapura,wet_zone,Intermediate,Medium,Container,Red_Earth,Maha,Leafy_Greens,Yes,Ginger,93.2,Tomato,88.7,Brahmi,81.9,0.88,173.7,74,2.8,234,2,10,288,High,1.12,"Cucumber, Green Beans, Chili"
Kilinochchi,northern,Beginner,Low,Container,Clay,Maha,Ayurvedic_Plants,Yes,Chili,90.7,Eggplant,83.2,Okra,68,0.807,54.5,72,1.8,67,2,10,557,Medium,1.15,"Tomato, Aloe Vera, Cherry Tomato"
Ella,hill_country,Beginner,High,Small_Plot,Red_Earth,Maha,Leafy_Greens,Yes,Turmeric,100,Lemon,81.9,Baby Corn,73.1,0.895,91.1,76,4.1,261,2,10,311,Medium,0.85,"Moringa, Cabbage, Lime"
Colombo,coastal,Beginner,Medium,Container,Alluvial,Yala,Fruits,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.816,54.9,72,3,68,2,10,469,Medium,1.02,"Cherry Tomato, Tomato, Capsicum"
Horana,wet_zone,Advanced,Medium,Container,Alluvial,Yala,Cash_Crops,Yes,Ginger,93.2,Strawberry,90.7,Brahmi,81.9,0.857,191.2,74,3.9,251,2,8,238,High,0.93,"Tomato, Chili, Cucumber"
Trincomalee,coastal,Beginner,Low,Container,Alluvial,Maha,Ayurvedic_Plants,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.694,56.3,72,2.9,81,2,10,318,Medium,0.81,"Cherry Tomato, Eggplant, Bell Pepper"
Ella,hill_country,Beginner,High,Backyard,Loamy,Yala,Ayurvedic_Plants,Yes,Turmeric,100,Ginger,100,Chili,82.3,0.879,72.7,76,4.8,224,2,10,319,Medium,1.06,"Lemon, Tomato, Baby Corn"
Matale,hill_country,Advanced,Low,Backyard,Red_Earth,Yala,Cash_Crops,No,Turmeric,94.8,Avocado,93,Curry Leaves,83.2,0.895,90.9,76,3.6,256,2,10,360,Medium,0.93,"Aloe Vera, Lemon, Ashwagandha"
Galle,coastal,Beginner,High,Backyard,Sandy,Yala,Fruits,Yes,Chili,100,Aloe Vera,100,Turmeric,86.9,0.719,202.6,72,1.9,65,2,10,406,Medium,0.84,"Moringa, Lime, Lemon"
Hatton,hill_country,Advanced,Low,Backyard,Laterite,Maha,Leafy_Greens,Yes,Black Pepper,100,Avocado,100,Turmeric,95.8,0.769,189.2,88,6.8,338,4,10,2466,High,1.2,"Ginger, Tomato, Broccoli"
